business_name,business_phone,business_industry,business_contact_person,business_description
Acme Plumbing,+1-555-0101,Home Services,Jane Doe,Emergency plumbing and repairs
Northstar Dental,+1-555-0102,Healthcare,Dr. Sam Lee,Family dental practice
GreenLeaf Landscaping,+1-555-0103,Home Services,Chris Park,Lawn care and landscape design
Brightway Fitness,+1-555-0104,Fitness,Alex Morgan,Boutique gym with classes
Sunrise Pediatrics,+1-555-0105,Healthcare,Dr. Priya Shah,Pediatric clinic
Redwood Real Estate,+1-555-0106,Real Estate,Jordan Kim,Residential real estate brokerage
Harbor Cafe,+1-555-0107,Hospitality,Casey Patel,Neighborhood cafe and bakery
NovaTech IT,+1-555-0108,Technology,Taylor Reed,Managed IT services for SMBs
Golden State Auto,+1-555-0109,Automotive,Riley Chen,Auto repair and maintenance
BlueSky Roofing,+1-555-0110,Home Services,Jamie Ortiz,Roofing installation and repair
